pool, doeid, nweight, hdd30yr, cdd30yr, kownrent, stories, stove, stovefuel, oven, ovenfuel, ovenuse, stoven, outgrill, dishwash, cwasher, washload, dryer, dryruse, tvcolor, numlaptop, numtablet, pcprint, moisture, prkgplc1, cooltype, tempniteac, numberac, numcfan, notmoist, highceil, windows, adqinsul, drafty, swim, cellar, region, urban, housetyp, famcat, inccat
119 ,10739 ,19349.628389 ,6906 ,737 ,1 ,20 ,0 ,-2 ,0 ,-2 ,2 ,1 ,1 ,0 ,1 ,4 ,1 ,4 ,4 ,0 ,2 ,0 ,0 ,0 ,3 ,73 ,1 ,5 ,0 ,1 ,50 ,2 ,4 ,0 ,1 ,2 ,1 ,1 ,4 ,2
122 ,10799 ,22142.713788 ,6545 ,705 ,1 ,-2 ,0 ,-2 ,0 ,-2 ,4 ,1 ,0 ,1 ,1 ,8 ,1 ,5 ,3 ,1 ,1 ,1 ,0 ,-2 ,1 ,70 ,-2 ,2 ,0 ,0 ,10 ,1 ,3 ,0 ,-2 ,2 ,1 ,2 ,1 ,2
119 ,10804 ,9513.8091688 ,7151 ,823 ,1 ,20 ,0 ,-2 ,0 ,-2 ,9 ,1 ,1 ,1 ,1 ,12 ,1 ,12 ,2 ,2 ,1 ,1 ,0 ,0 ,1 ,70 ,-2 ,7 ,1 ,1 ,50 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,4 ,2
113 ,10810 ,23812.521679 ,7045 ,433 ,1 ,31 ,0 ,-2 ,0 ,-2 ,3 ,1 ,1 ,1 ,1 ,7 ,1 ,6 ,4 ,0 ,2 ,0 ,1 ,1 ,1 ,73 ,-2 ,4 ,0 ,0 ,30 ,2 ,4 ,2 ,1 ,2 ,1 ,1 ,2 ,2
116 ,10847 ,22643.359447 ,4724 ,1323 ,1 ,40 ,0 ,-2 ,0 ,-2 ,8 ,1 ,1 ,1 ,1 ,5 ,1 ,5 ,3 ,0 ,1 ,1 ,0 ,1 ,1 ,75 ,-2 ,2 ,0 ,1 ,41 ,2 ,4 ,0 ,1 ,2 ,1 ,1 ,3 ,2
116 ,10862 ,12483.693125 ,6537 ,840 ,1 ,31 ,0 ,-2 ,0 ,-2 ,1 ,1 ,1 ,1 ,1 ,10 ,1 ,10 ,2 ,2 ,0 ,0 ,0 ,1 ,1 ,76 ,-2 ,4 ,0 ,1 ,41 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,3 ,2
119 ,10894 ,20497.439957 ,4849 ,1272 ,1 ,10 ,0 ,-2 ,0 ,-2 ,12 ,1 ,1 ,1 ,1 ,16 ,1 ,17 ,3 ,1 ,0 ,1 ,1 ,1 ,1 ,68 ,-2 ,0 ,1 ,0 ,41 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,4 ,2
116 ,10909 ,26490.648341 ,6067 ,1023 ,1 ,20 ,0 ,-2 ,0 ,-2 ,7 ,1 ,1 ,0 ,1 ,5 ,1 ,5 ,1 ,1 ,0 ,0 ,0 ,0 ,1 ,50 ,-2 ,3 ,0 ,0 ,50 ,2 ,4 ,0 ,1 ,2 ,1 ,1 ,3 ,2
110 ,10920 ,38280.600516 ,5979 ,1053 ,1 ,10 ,0 ,-2 ,0 ,-2 ,4 ,1 ,0 ,0 ,1 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,1 ,1 ,1 ,65 ,-2 ,0 ,1 ,0 ,42 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,1 ,2
122 ,11004 ,53953.783396 ,5809 ,1202 ,2 ,-2 ,0 ,-2 ,0 ,-2 ,3 ,1 ,0 ,1 ,0 ,-2 ,0 ,-2 ,1 ,0 ,0 ,0 ,1 ,-2 ,1 ,71 ,-2 ,0 ,0 ,0 ,30 ,2 ,3 ,0 ,-2 ,2 ,1 ,2 ,1 ,2
140 ,11099 ,34292.890388 ,5591 ,1004 ,1 ,-2 ,0 ,-2 ,0 ,-2 ,1 ,1 ,1 ,1 ,1 ,4 ,1 ,4 ,1 ,1 ,0 ,0 ,0 ,-2 ,1 ,74 ,-2 ,2 ,0 ,-2 ,30 ,2 ,3 ,0 ,-2 ,2 ,1 ,3 ,3 ,2
119 ,11135 ,18801.139702 ,5598 ,754 ,1 ,10 ,0 ,-2 ,0 ,-2 ,3 ,1 ,1 ,1 ,1 ,6 ,1 ,6 ,3 ,1 ,4 ,0 ,0 ,1 ,1 ,72 ,-2 ,4 ,0 ,0 ,41 ,1 ,4 ,0 ,0 ,2 ,1 ,1 ,4 ,2
131 ,11189 ,14493.888845 ,6054 ,1032 ,2 ,-2 ,0 ,-2 ,0 ,-2 ,2 ,1 ,1 ,1 ,0 ,-2 ,0 ,-2 ,1 ,0 ,1 ,1 ,1 ,-2 ,2 ,75 ,2 ,3 ,0 ,1 ,41 ,2 ,4 ,0 ,-2 ,2 ,1 ,2 ,4 ,2
119 ,11200 ,13573.097678 ,6707 ,674 ,1 ,10 ,0 ,-2 ,0 ,-2 ,2 ,1 ,1 ,1 ,1 ,5 ,1 ,5 ,8 ,1 ,5 ,2 ,1 ,1 ,1 ,71 ,-2 ,6 ,0 ,1 ,41 ,2 ,4 ,0 ,1 ,2 ,1 ,1 ,4 ,2
131 ,11203 ,13673.183074 ,7437 ,547 ,2 ,-2 ,0 ,-2 ,0 ,-2 ,5 ,1 ,0 ,1 ,1 ,25 ,1 ,25 ,2 ,2 ,0 ,1 ,1 ,-2 ,1 ,72 ,-2 ,2 ,0 ,1 ,20 ,1 ,4 ,0 ,-2 ,2 ,1 ,2 ,4 ,2
116 ,11264 ,14275.065102 ,6446 ,639 ,1 ,20 ,0 ,-2 ,0 ,-2 ,10 ,1 ,0 ,1 ,1 ,6 ,1 ,6 ,3 ,2 ,1 ,1 ,1 ,1 ,1 ,72 ,-2 ,1 ,0 ,0 ,42 ,2 ,4 ,0 ,1 ,2 ,1 ,1 ,3 ,2
116 ,11266 ,26572.258902 ,6428 ,783 ,1 ,10 ,0 ,-2 ,0 ,-2 ,0 ,1 ,1 ,1 ,1 ,3 ,1 ,3 ,2 ,2 ,1 ,0 ,1 ,0 ,2 ,73 ,2 ,4 ,1 ,0 ,50 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,3 ,2
119 ,11272 ,13552.171454 ,8053 ,638 ,1 ,20 ,0 ,-2 ,0 ,-2 ,10 ,1 ,1 ,1 ,1 ,6 ,1 ,6 ,0 ,1 ,1 ,1 ,1 ,1 ,1 ,70 ,-2 ,3 ,1 ,0 ,50 ,1 ,4 ,0 ,1 ,2 ,1 ,1 ,4 ,2
116 ,11338 ,17841.642309 ,6128 ,851 ,1 ,10 ,0 ,-2 ,0 ,-2 ,1 ,1 ,0 ,1 ,1 ,7 ,1 ,7 ,2 ,0 ,2 ,0 ,1 ,1 ,1 ,74 ,-2 ,1 ,0 ,1 ,30 ,2 ,4 ,0 ,1 ,2 ,1 ,1 ,3 ,2
119 ,11362 ,34799.331661 ,5391 ,1047 ,2 ,10 ,0 ,-2 ,0 ,-2 ,7 ,1 ,1 ,0 ,1 ,7 ,1 ,7 ,3 ,5 ,5 ,0 ,0 ,1 ,2 ,70 ,2 ,4 ,0 ,0 ,30 ,2 ,2 ,0 ,0 ,2 ,1 ,1 ,4 ,2
