"pool","doeid","nweight","hdd30yr","cdd30yr","kownrent","condcoop","naptflrs","stories","stoven","stovenfuel","stove","stovefuel","oven","ovenfuel","ovenuse","outgrill","dishwash","cwasher","washload","dryer","dryruse","tvcolor","computer","numpc","pcprint","moisture","prkgplc1","prkgplc2","cooltype","tempniteac","numberac","numcfan","notmoist","highceil","windows","adqinsul","drafty","swim"
2,11557,4286301,6596,505,1,-2,-2,20,1,5,0,-2,0,-2,2,1,1,1,2,1,1,4,1,5,1,0,1,-2,2,-2,3,1,0,0,60,1,4,2
3,4057,14445413,7698,245,1,-2,-2,20,1,2,0,-2,0,-2,4,1,0,1,2,1,1,1,1,1,1,0,0,1,-2,-2,-2,0,1,1,42,1,4,0
3,10393,9610897,6023,680,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,1,1,1,2,1,2,2,0,0,1,1,-2,-2,0,1,1,60,3,3,2
3,11161,6217573,6521,523,1,-2,-2,31,1,2,0,-2,1,5,4,0,1,1,2,1,1,2,1,1,0,0,1,-2,1,-2,-2,1,1,1,60,2,4,0
4,4969,5629099,7222,383,1,-2,-2,10,0,-2,1,5,1,5,4,0,1,1,2,1,1,3,1,5,1,0,0,0,-2,-2,-2,1,1,0,42,2,3,0
4,9789,3912874,7388,325,1,-2,-2,20,1,5,0,-2,0,-2,3,1,1,1,3,1,2,3,1,1,1,0,1,-2,1,-2,-2,1,0,1,50,2,3,3
4,10547,5629099,6965,390,2,-2,-2,20,1,5,0,-2,0,-2,3,0,0,1,3,1,1,2,1,1,0,0,0,0,-2,-2,-2,5,0,0,41,2,4,0
5,2660,5691843,7270,330,2,-2,-2,20,0,-2,1,1,1,1,6,0,0,0,-2,0,-2,3,1,1,0,0,0,0,-2,-2,-2,0,0,1,41,1,4,0
5,7744,4197340,6645,604,1,-2,-2,20,1,1,0,-2,0,-2,4,1,1,1,2,1,1,3,1,1,1,0,0,1,1,-2,-2,0,1,1,50,3,3,0
5,7871,11150182,7307,323,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,3,1,2,2,0,0,-2,0,0,1,-2,-2,-2,6,1,1,50,3,2,2
5,9072,5629099,7380,246,2,-2,-2,20,1,5,0,-2,0,-2,4,0,1,1,3,1,1,2,1,1,0,0,0,1,-2,-2,-2,2,0,1,41,2,2,3
5,10109,5629099,6872,409,1,-2,-2,10,1,5,0,-2,0,-2,3,1,1,1,3,1,1,4,1,2,1,0,1,-2,2,-2,1,3,1,1,41,2,3,0
5,11883,7955395,6490,609,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,3,1,1,2,1,1,0,0,1,-2,1,-2,-2,4,1,0,60,2,1,0
7,258,10878438,6758,508,1,-2,-2,20,1,2,0,-2,0,-2,4,0,0,1,2,1,1,1,0,0,-2,0,0,1,-2,-2,-2,0,0,0,30,2,3,0
7,517,10878435,7311,362,3,-2,-2,10,1,2,0,-2,0,-2,4,0,1,1,5,1,1,1,1,1,1,1,0,0,1,-2,-2,1,0,0,41,2,3,0
7,862,8159839,7536,317,1,-2,-2,20,1,2,0,-2,0,-2,4,1,1,1,2,1,1,2,0,0,-2,0,0,0,-2,-2,-2,1,0,0,50,1,4,0
7,974,5477420,7434,411,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,3,1,2,3,1,1,1,0,0,0,-2,-2,-2,1,1,0,41,2,4,0
7,3310,15623270,5450,797,1,-2,-2,10,1,5,0,-2,0,-2,4,1,0,1,2,1,2,1,0,0,-2,1,1,-2,1,-2,-2,2,1,0,30,2,4,0
7,3437,16272050,5548,770,1,-2,-2,10,1,5,0,-2,0,-2,5,1,0,1,2,1,1,4,1,1,1,0,0,1,2,-2,3,0,1,0,30,1,4,0
7,4025,7834504,6023,718,1,-2,-2,20,1,1,0,-2,0,-2,6,1,1,1,3,1,1,2,1,1,1,0,0,0,2,-2,2,0,0,0,42,3,2,2
7,4122,5629100,6578,544,1,-2,-2,10,1,5,0,-2,0,-2,4,0,1,1,2,1,1,2,0,0,-2,0,0,1,1,72,-2,0,0,0,41,2,3,0
7,4544,5414539,8737,273,1,-2,-2,10,1,5,0,-2,0,-2,4,1,0,1,3,1,2,3,1,1,1,0,0,0,-2,-2,-2,2,1,0,30,1,4,0
7,5064,11638258,9842,87,1,-2,-2,20,1,2,0,-2,0,-2,4,1,0,1,2,1,2,2,0,0,-2,0,0,1,-2,-2,-2,1,1,0,41,2,4,0
7,5638,5779673,6332,672,2,-2,-2,10,1,5,0,-2,0,-2,4,0,1,1,2,1,1,4,1,1,1,0,1,-2,1,-2,-2,0,1,0,41,2,4,0
7,6048,11525608,5443,799,1,1,-2,20,1,1,0,-2,0,-2,3,0,1,1,2,1,2,2,1,1,1,0,1,-2,1,-2,-2,1,0,1,30,1,4,0
7,6060,3991101,6744,361,1,-2,-2,20,1,5,0,-2,0,-2,4,1,0,1,2,1,1,2,0,0,-2,0,0,0,2,-2,1,2,0,0,41,1,4,0
7,6503,15623269,5773,695,1,-2,-2,20,1,2,0,-2,0,-2,4,1,1,1,3,1,2,3,1,1,1,0,0,1,1,-2,-2,3,0,0,50,1,4,2
7,6730,5414539,6544,548,2,-2,-2,20,1,5,0,-2,0,-2,3,1,0,1,3,1,1,2,1,3,1,1,0,0,2,-2,2,0,1,0,50,2,3,0
7,7455,7834501,7481,328,1,-2,-2,10,1,5,0,-2,0,-2,3,1,1,1,3,1,1,2,1,1,1,0,1,-2,-2,-2,-2,8,0,0,41,2,4,0
7,7457,5862856,6800,495,1,-2,-2,20,1,5,0,-2,0,-2,6,1,1,1,3,1,2,3,0,0,-2,1,1,-2,2,-2,1,2,0,1,42,1,4,1
7,8202,5639386,9257,181,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,2,1,1,2,1,1,0,0,0,0,2,-2,1,0,1,0,41,1,4,0
7,8436,7834503,7559,391,1,-2,-2,20,1,5,0,-2,0,-2,4,0,1,1,2,1,1,1,1,1,1,1,0,1,2,-2,2,1,0,0,41,2,4,0
7,8634,5862855,7254,356,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,3,1,2,3,1,1,1,0,0,0,2,-2,2,0,1,1,42,1,4,0
7,10324,5629099,7153,398,1,-2,-2,20,2,5,0,-2,0,-2,5,1,1,1,2,1,1,2,1,1,1,0,1,-2,2,-2,5,3,1,1,50,1,4,0
7,10383,7834501,7774,269,1,-2,-2,20,1,5,0,-2,0,-2,4,1,0,1,2,1,2,1,0,0,-2,0,0,0,-2,-2,-2,1,0,0,41,2,3,0
7,10789,4554933,6047,564,1,-2,-2,20,1,2,0,-2,0,-2,4,1,1,1,3,1,1,5,1,2,1,1,1,-2,-2,-2,-2,4,1,0,41,1,4,2
7,10833,16272049,6082,618,1,-2,-2,10,1,5,0,-2,0,-2,4,0,1,1,2,1,2,1,1,1,1,1,1,-2,1,-2,-2,5,0,1,30,1,4,0
7,11424,4554933,5917,597,1,-2,-2,10,1,2,0,-2,0,-2,5,1,1,1,2,1,1,4,1,2,1,1,0,1,1,-2,-2,1,0,0,41,3,4,3
7,11496,5862855,7174,394,1,-2,-2,10,1,5,0,-2,0,-2,3,1,1,1,3,1,1,3,1,3,1,0,0,1,-2,-2,-2,1,0,0,41,2,3,1
7,11718,17351458,5460,856,1,-2,-2,20,1,5,0,-2,0,-2,3,0,1,1,3,1,2,1,0,0,-2,0,0,1,1,62,-2,0,0,0,50,1,3,0
8,211,14076753,5270,954,1,-2,-2,20,1,1,0,-2,0,-2,4,1,1,1,4,1,1,5,1,3,1,0,1,-2,1,78,-2,7,0,0,50,1,3,0
8,350,7925487,7154,354,2,-2,-2,10,1,5,0,-2,0,-2,3,1,1,1,2,1,1,2,0,0,-2,0,0,0,-2,-2,-2,1,1,0,30,1,4,0
8,750,5414540,9154,198,1,-2,-2,20,1,5,0,-2,0,-2,3,1,1,1,4,1,1,3,1,2,0,0,1,-2,-2,-2,-2,2,0,0,50,1,4,0
8,948,15804709,6161,598,1,-2,-2,10,1,5,0,-2,0,-2,3,1,1,1,2,1,1,2,1,1,0,0,0,1,-2,-2,-2,4,0,0,30,1,4,0
8,1008,5414539,9141,204,1,-2,-2,10,1,5,0,-2,0,-2,4,1,1,1,3,1,1,2,1,2,1,0,0,1,-2,-2,-2,4,1,0,41,1,4,0
8,1204,11525608,5501,783,1,-2,-2,10,1,5,0,-2,0,-2,3,1,1,1,2,1,1,3,1,1,1,0,1,-2,1,-2,-2,2,0,1,41,1,4,0
8,2040,5862855,8427,188,1,-2,-2,10,1,5,0,-2,0,-2,4,1,0,1,2,1,2,2,1,1,1,0,0,0,-2,-2,-2,1,0,1,41,1,4,0
